City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Touros,BR,81.54,clear sky,-5.1989,-35.4608,INN NEW HORIZON
108,Rock Sound,BS,75.63,overcast clouds,24.9,-76.2,Pink Corral Bay Property
109,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
110,Goiatuba,BR,83.37,clear sky,-18.0125,-49.3547,Hotel Barrocos
111,Ramsar,IR,78.4,clear sky,36.9226,50.6426,Rasa Residential Hotel
113,Panama City,PA,86.38,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
115,Tagusao,PH,79.21,overcast clouds,9.1924,117.8141,Green Villa beach resort
116,Kudahuvadhoo,MV,82.67,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
117,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
118,Tocache,PE,88.16,scattered clouds,-8.1842,-76.5125,Residencial JATER
120,Kisangani,CD,76.51,overcast clouds,0.5167,25.2,Grand Ramela Hotel
125,Kahului,US,84.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
129,Kloulklubed,PW,82.72,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
131,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
133,Bubaque,GW,81.01,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
139,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
140,Anloga,GH,80.49,light rain,5.7947,0.8973,Pin Drop Hotel
143,Hirara,JP,80.01,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
144,Teknaf,BD,79.92,scattered clouds,20.8624,92.3058,Forestry Guesthouse
145,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
149,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
156,Lodwar,KE,89.19,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
160,Bom Jesus Da Lapa,BR,87.89,clear sky,-13.255,-43.4181,Hotel das Nações
161,Buala,SB,78.91,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
170,Laguna,US,81.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
172,Camopi,GF,78.69,heavy intensity rain,3.1655,-52.3158,La pousada
179,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
