City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Cajnice,BA,43.5575,19.0711,59.07,96,11,1.81,few clouds
201,Alekseyevsk,RU,57.8406,108.3492,54.23,74,9,3.02,clear sky
202,Port Elizabeth,ZA,-33.918,25.5701,58.32,61,6,1.99,clear sky
203,Pita,GN,10.8333,-12.5833,72.88,95,100,2.13,moderate rain
204,Dipalpur,PK,30.6709,73.6529,98.38,11,0,4.74,clear sky
205,Kawalu,ID,-7.3817,108.2082,71.19,95,94,0.2,overcast clouds
206,Pimentel,PE,-6.8367,-79.9342,70.09,64,100,9.22,overcast clouds
207,Farafangana,MG,-22.8167,47.8333,69.33,86,36,8.77,moderate rain
208,Ketchikan,US,55.3422,-131.6461,54.07,76,100,4.61,overcast clouds
209,Aquiraz,BR,-3.9014,-38.3911,86.45,74,13,8.37,few clouds
210,Mangalia,RO,43.8,28.5833,62.64,89,21,10.09,few clouds
211,Semporna,MY,4.4818,118.6112,79.38,78,82,2.28,broken clouds
212,Nishihara,JP,26.1842,127.7558,73.45,94,100,9.22,moderate rain
213,Bani Walid,LY,31.7566,13.9942,87.13,22,0,9.98,clear sky
214,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,87,100,2.24,overcast clouds
215,Tura,IN,25.5198,90.2201,73.45,96,100,5.46,moderate rain
216,Mayo,US,38.8876,-76.5119,84.36,41,0,9.22,clear sky
217,Yarada,IN,17.65,83.2667,79.12,94,75,2.3,mist
218,Quatre Cocos,MU,-20.2078,57.7625,71.1,78,4,13.11,clear sky
219,Sioux Lookout,CA,50.1001,-91.917,62.67,48,75,6.91,broken clouds
220,Namatanai,PG,-3.6667,152.4333,78.35,84,39,6.85,scattered clouds
221,Victoria,HK,22.2855,114.1577,84.38,87,100,8.99,light rain
222,Krasnoselkup,RU,65.7,82.4667,36.23,52,95,4.47,overcast clouds
223,Ulaanbaatar,MN,47.9077,106.8832,55.53,54,75,17.9,light rain
224,San Rafael,AR,-34.6177,-68.3301,70.48,16,11,7.81,few clouds
225,Westport,US,41.1415,-73.3579,84.43,37,0,6.91,clear sky
226,Inhambane,MZ,-23.865,35.3833,70.2,64,100,14.14,overcast clouds
227,Prince Rupert,CA,54.3161,-130.3201,55.6,73,100,5.59,overcast clouds
228,San Carlos De Bariloche,AR,-41.1456,-71.3082,45.45,53,100,21.85,heavy intensity rain
229,Ouadda,CF,8.0777,22.4007,66.47,97,100,6.91,heavy intensity rain
230,Machiques,VE,10.0644,-72.545,90.75,55,26,4.25,scattered clouds
231,Alexandria,EG,31.2156,29.9553,76.15,68,0,7.09,clear sky
232,Henties Bay,NA,-22.116,14.2845,70.86,42,0,10.31,clear sky
233,Longyearbyen,SJ,78.2186,15.6401,46.24,61,75,13.8,broken clouds
234,Tautira,PF,-17.7333,-149.15,79.88,71,48,19.33,scattered clouds
235,Talnakh,RU,69.4865,88.3972,34.11,62,59,5.3,broken clouds
236,Hopelchen,MX,19.7667,-89.85,95.79,38,100,2.59,overcast clouds
237,Sola,VU,-13.8833,167.55,80.28,78,21,19.82,few clouds
238,Mafeteng,LS,-29.823,27.2374,46.4,53,0,2.68,clear sky
239,Carnarvon,AU,-24.8667,113.6333,69.82,53,0,4.97,clear sky
240,Lagoa,PT,39.05,-27.9833,65.03,93,90,21.72,overcast clouds
241,Panguipulli,CL,-39.6333,-72.3333,50.47,96,100,7.43,overcast clouds
242,Goderich,CA,43.7501,-81.7165,57.25,93,100,10.49,light rain
243,Maymyo,MM,22.0333,96.4667,67.84,87,100,2.13,overcast clouds
244,Virginia Beach,US,36.8529,-75.978,82.45,61,0,12.66,clear sky
245,Alpena,US,45.0617,-83.4327,53.92,97,100,6.91,overcast clouds
246,Cosmopolis,BR,-22.6458,-47.1961,77.88,49,68,5.97,broken clouds
247,Hendek,TR,40.7994,30.7481,60.66,96,39,0.49,scattered clouds
248,Tabuk,PH,17.4189,121.4443,74.32,88,98,2.19,overcast clouds
249,Nouakchott,MR,18.0858,-15.9785,78.73,68,60,12.73,broken clouds
250,Wattens,AT,47.2722,11.5993,64.99,89,75,3.44,broken clouds
251,Macon,US,39.8667,-88.9668,80.26,73,20,11.5,few clouds
252,Saldanha,ZA,-33.0117,17.9442,67.39,39,39,8.16,scattered clouds
253,Aykhal,RU,66.0,111.5,40.23,94,21,4.45,few clouds
254,Sabha,LY,27.0377,14.4283,87.96,16,0,7.87,clear sky
255,Novikovo,RU,51.1537,37.8879,57.18,88,7,4.54,clear sky
256,Naze,JP,28.3667,129.4833,68.49,81,73,4.18,broken clouds
257,Emba,KZ,48.8264,58.1442,79.07,23,99,18.3,overcast clouds
258,Constitucion,CL,-35.3333,-72.4167,57.9,80,50,5.66,scattered clouds
259,Luqiao,CN,28.5808,121.3772,74.01,95,84,3.91,broken clouds
